,recent_px,strike,option_px,extrinsic_value,yield,protection,delta_calc
0,174.36000061035156,70.0,104.17500000000001,0.0,0.0,0.5974707480805965,0.9775298484292143
1,174.36000061035156,80.0,94.35,0.0,0.0,0.5411218150362781,0.9992991752939439
2,174.36000061035156,90.0,70.75,0.0,0.0,0.4057696705226993,1.0
3,174.36000061035156,95.0,79.45,0.08999938964844034,0.0005161699319419317,0.45566643566117965,0.9953473312104405
4,174.36000061035156,100.0,74.625,0.2649993896484375,0.001519840495072267,0.42799380442058566,0.9890455549512122
5,174.36000061035156,105.0,69.475,0.11499938964843182,0.0006595514409605045,0.39845721356274955,0.9934709146177731
6,174.36000061035156,109.0,65.3,0.0,0.0,0.37451250155663973,0.9467965230928318
7,174.36000061035156,110.0,64.425,0.06499938964843466,0.0003727884229232775,0.369494148740988,0.9951043695102405
8,174.36000061035156,115.0,59.425,0.06499938964843466,0.0003727884229232775,0.34081784693726364,0.9946237578422273
9,174.36000061035156,119.0,55.45,0.08999938964844034,0.0005161699319419317,0.31802018700330287,0.9927769116424622
10,174.36000061035156,120.0,54.475,0.11499938964843892,0.0006595514409605453,0.3124283081515766,0.9913328873606198
11,174.36000061035156,121.0,53.525000000000006,0.16499938964844318,0.000946314458997813,0.306979810808869,0.9886554114413277
12,174.36000061035156,125.0,49.425,0.06499938964843466,0.0003727884229232775,0.283465243329815,0.9932882540821358
13,174.36000061035156,126.0,48.425,0.06499938964843466,0.0003727884229232775,0.27772998296907014,0.9931483143711766
14,174.36000061035156,130.0,44.525,0.16499938964843608,0.0009463144589977723,0.2553624675621652,0.9861633116776418
15,174.36000061035156,133.0,41.55,0.18999938964843466,0.0010896959680163857,0.23830006798894918,0.9836309766387435
16,174.36000061035156,134.0,40.475,0.11499938964843892,0.0006595514409605453,0.23213466310114847,0.9881674724137746
17,174.36000061035156,134.5,28.45,0.0,0.0,0.16316815726319145,1.0
18,174.36000061035156,135.0,39.5,0.1399993896484375,0.0008029329499791587,0.22654278424942223,0.9861083715170107
19,174.36000061035156,135.5,39.099999999999994,0.23999938964843182,0.0013764589860536128,0.22424868010512425,0.9793857514332578
20,174.36000061035156,136.0,38.45,0.08999938964844034,0.0005161699319419317,0.22052076087064013,0.9893423790823933
21,174.36000061035156,137.0,37.475,0.11499938964843892,0.0006595514409605453,0.21492888201891386,0.9871934417215937
22,174.36000061035156,137.5,37.0,0.1399993896484375,0.0008029329499791587,0.21220463334756004,0.9851976527834503
23,174.36000061035156,138.0,36.650000000000006,0.2899993896484432,0.0016632220040909212,0.21019729222129938,0.9748601441438818
24,174.36000061035156,138.5,24.725,0.0,0.0,0.14180431241941682,1.0
25,174.36000061035156,139.0,35.650000000000006,0.2899993896484432,0.0016632220040909212,0.2044620318605545,0.974192270718291
26,174.36000061035156,139.5,35.05,0.18999938964843466,0.0010896959680163857,0.20102087564410753,0.9805423307305687
27,174.36000061035156,140.0,34.675,0.31499938964843466,0.001806603513109494,0.1988701530088282,0.9718621041373366
28,174.36000061035156,141.0,33.775,0.4149993896484361,0.002380129549183989,0.19370841868415786,0.964698513592045
29,174.36000061035156,141.5,33.05,0.18999938964843466,0.0010896959680163857,0.18955035492261782,0.9795567805550618
30,174.36000061035156,142.0,32.575,0.21499938964844034,0.0012330774770350401,0.18682610625126403,0.9773254302409908
31,174.36000061035156,142.5,32.075,0.21499938964844034,0.0012330774770350401,0.1839584760708916,0.9769678084576338
32,174.36000061035156,143.0,31.525,0.16499938964843608,0.0009463144589977723,0.1808040828724819,0.980579777098441
33,174.36000061035156,143.5,31.125,0.2649993896484375,0.001519840495072267,0.17850997872818397,0.9724563483816538
34,174.36000061035156,144.0,30.625,0.2649993896484375,0.001519840495072267,0.17564234854781152,0.9720980873031005
35,174.36000061035156,144.5,30.15,0.2899993896484361,0.0016632220040908806,0.1729180998764577,0.9697420112035363
36,174.36000061035156,145.0,29.65,0.2899993896484361,0.0016632220040908806,0.17005046969608528,0.9693220164282355
37,174.36000061035156,145.5,29.175,0.3149993896484382,0.0018066035131095145,0.16732622102473146,0.967026011248255
38,174.36000061035156,146.0,28.625,0.2649993896484375,0.001519840495072267,0.1641718278263218,0.9703365729490192
39,174.36000061035156,146.5,28.15,0.2899993896484361,0.0016632220040908806,0.16144757915496796,0.967871142495222
40,174.36000061035156,147.0,27.725,0.3649993896484389,0.0020933665311467617,0.15901009350165143,0.9615590419421197
41,174.36000061035156,147.5,27.2,0.3399993896484368,0.0019499850221281279,0.15599908181226035,0.9629166412717574
42,174.36000061035156,148.0,26.75,0.3899993896484375,0.002236748040165375,0.15341821464992517,0.9583951693432782
43,174.36000061035156,149.0,25.825000000000003,0.46499938964844034,0.0026668925672212566,0.1481130988162362,0.9515220785956755
44,174.36000061035156,150.0,24.45,0.08999938964843679,0.0005161699319419114,0.14022711582021197,0.9835039935321618
45,174.36000061035156,151.0,23.8,0.4399993896484382,0.002523511058202623,0.13649919658572782,0.9500276303047563
46,174.36000061035156,152.0,22.9,0.5399993896484361,0.003097037094277097,0.13133746226105744,0.9404633969086735
47,174.36000061035156,153.0,22.05,0.6899993896484382,0.003957326148388839,0.1264624909544243,0.9274064842615256
48,174.36000061035156,154.0,20.95,0.5899993896484368,0.0033838001123143446,0.12015370455760495,0.9320469623476619
49,174.36000061035156,155.0,20.25,0.8899993896484375,0.005104378220537808,0.11613902230508354,0.9080307284909096
50,174.36000061035156,156.0,18.9,0.5399993896484361,0.003097037094277097,0.10839642081807796,0.9305270993603284
