,strike,delta_calc,yield,converted_expiration,weekly_yield,jjj
98,130.0,1.0,0.0,2021-12-10,0.0,0.0
99,135.0,1.0,0.0,2021-12-10,0.0,0.0
100,138.0,1.0,0.0,2021-12-10,0.0,0.0
101,139.0,1.0,0.0,2021-12-10,0.0,0.0
102,140.0,1.0,0.0,2021-12-10,0.0,0.0
103,141.0,1.0,0.0,2021-12-10,0.0,0.0
104,142.0,1.0,0.0,2021-12-10,0.0,0.0
105,143.0,1.0,0.0,2021-12-10,0.0,0.0
106,144.0,1.0,0.0,2021-12-10,0.0,0.0
107,145.0,1.0,0.0,2021-12-10,0.0,0.0
108,146.0,1.0,0.0,2021-12-10,0.0,0.0
109,146.5,1.0,0.0,2021-12-10,0.0,0.0
110,147.0,1.0,0.0,2021-12-10,0.0,0.0
111,147.5,1.0,0.0,2021-12-10,0.0,0.0
112,148.0,1.0,0.0,2021-12-10,0.0,0.0
113,148.5,1.0,0.0,2021-12-10,0.0,0.0
114,149.0,1.0,0.0,2021-12-10,0.0,0.0
115,149.5,1.0,0.0,2021-12-10,0.0,0.0
116,150.0,1.0,0.0,2021-12-10,0.0,0.0
117,151.0,1.0,0.0,2021-12-10,0.0,0.0
118,152.0,1.0,0.0,2021-12-10,0.0,0.0
119,152.5,1.0,0.0,2021-12-10,0.0,0.0
120,153.0,1.0,0.0,2021-12-10,0.0,0.0
121,154.0,1.0,0.0,2021-12-10,0.0,0.0
122,155.0,1.0,0.0,2021-12-10,0.0,0.0
123,156.0,1.0,0.0,2021-12-10,0.0,0.0
124,157.0,1.0,0.0,2021-12-10,0.0,0.0
125,157.5,1.0,0.0,2021-12-10,0.0,0.0
126,158.0,1.0,0.0,2021-12-10,0.0,0.0
127,159.0,1.0,0.0,2021-12-10,0.0,0.0
128,160.0,1.0,0.0,2021-12-10,0.0,0.0
129,161.0,1.0,0.0,2021-12-10,0.0,0.0
130,162.0,1.0,0.0,2021-12-10,0.0,0.0
131,162.5,1.0,0.0,2021-12-10,0.0,0.0
132,163.0,1.0,0.0,2021-12-10,0.0,0.0
133,164.0,0.000162198372344387,0.0,2021-12-10,0.0,0.0
134,165.0,9.144603979460176e-05,0.0,2021-12-10,0.0,0.0
135,166.0,0.0022877156058952507,0.0,2021-12-10,0.0,0.0
136,167.0,7.347616076338379e-05,0.0,2021-12-10,0.0,0.0
137,167.5,9.585131652352942e-06,0.0,2021-12-10,0.0,0.0
138,168.0,1.0115919383204592e-06,0.0,2021-12-10,0.0,0.0
139,169.0,0.0022139761695663947,0.0,2021-12-10,0.0,0.0
140,170.0,0.0004535589837622405,0.0,2021-12-10,0.0,0.0
141,171.0,7.62405554341703e-05,0.0,2021-12-10,0.0,0.0
142,172.0,1.052758447618295e-05,0.0,2021-12-10,0.0,0.0
143,172.5,3.6357404308811693e-06,0.0,2021-12-10,0.0,0.0
144,173.0,1.1961683235865816e-06,0.0,2021-12-10,0.0,0.0
145,174.0,1.1206399824637092e-07,0.0,2021-12-10,0.0,0.0
146,175.0,0.002483972023652581,0.0,2021-12-10,0.0,0.0
147,176.0,0.0011946880659093123,0.0,2021-12-10,0.0,0.0
148,177.0,0.0005499860984472387,0.0,2021-12-10,0.0,0.0
149,177.5,0.00036713766510081147,0.0,2021-12-10,0.0,0.0
150,178.0,0.00024245142846106716,0.0,2021-12-10,0.0,0.0
151,179.0,0.00010239427495476597,0.0,2021-12-10,0.0,0.0
152,180.0,4.144943743733885e-05,0.0,2021-12-10,0.0,0.0
153,181.0,1.6090779041655472e-05,0.0,2021-12-10,0.0,0.0
154,182.0,5.993512028125368e-06,0.0,2021-12-10,0.0,0.0
155,182.5,3.6022527943463885e-06,0.0,2021-12-10,0.0,0.0
156,183.0,2.1432216880080913e-06,0.0,2021-12-10,0.0,0.0
157,184.0,7.3616185905557e-07,0.0,2021-12-10,0.0,0.0
158,185.0,2.430196814455091e-07,0.0,2021-12-10,0.0,0.0
159,186.0,7.714613889760572e-08,0.0,2021-12-10,0.0,0.0
160,187.0,2.3563222440219578e-08,0.0,2021-12-10,0.0,0.0
161,188.0,0.0024091606717651566,0.0,2021-12-10,0.0,0.0
162,189.0,0.0017220970103146642,0.0,2021-12-10,0.0,0.0
163,190.0,0.001220457971972831,0.0,2021-12-10,0.0,0.0
164,195.0,0.00019256774078665328,0.0,2021-12-10,0.0,0.0
165,200.0,2.491676460967546e-05,0.0,2021-12-10,0.0,0.0
166,205.0,2.6791898068761478e-06,0.0,2021-12-10,0.0,0.0
167,210.0,2.4246634868560976e-07,0.0,2021-12-10,0.0,0.0
168,215.0,1.869284430798874e-08,0.0,2021-12-10,0.0,0.0
169,220.0,0.0016208579452647554,0.0,2021-12-10,0.0,0.0
170,225.0,0.0007659741808130863,0.0,2021-12-10,0.0,0.0
171,235.0,0.00015703523794244014,0.0,2021-12-10,0.0,0.0
172,240.0,6.838401038977914e-05,0.0,2021-12-10,0.0,0.0
173,250.0,1.209876952895565e-05,0.0,2021-12-10,0.0,0.0
174,255.0,4.930905091421996e-06,0.0,2021-12-10,0.0,0.0
175,50.0,1.0,0.0,2021-12-17,0.0,0.0
176,55.0,1.0,0.0,2021-12-17,0.0,0.0
177,60.0,1.0,0.0,2021-12-17,0.0,0.0
178,65.0,1.0,0.0,2021-12-17,0.0,0.0
179,70.0,1.0,0.0,2021-12-17,0.0,0.0
180,75.0,1.0,0.0,2021-12-17,0.0,0.0
181,80.0,1.0,0.0,2021-12-17,0.0,0.0
182,85.0,1.0,0.0,2021-12-17,0.0,0.0
183,90.0,1.0,0.0,2021-12-17,0.0,0.0
184,95.0,1.0,0.0,2021-12-17,0.0,0.0
185,96.0,1.0,0.0,2021-12-17,0.0,0.0
186,97.0,1.0,0.0,2021-12-17,0.0,0.0
187,98.0,1.0,0.0,2021-12-17,0.0,0.0
188,99.0,1.0,0.0,2021-12-17,0.0,0.0
189,100.0,1.0,0.0,2021-12-17,0.0,0.0
190,101.0,1.0,0.0,2021-12-17,0.0,0.0
191,102.0,1.0,0.0,2021-12-17,0.0,0.0
192,103.0,1.0,0.0,2021-12-17,0.0,0.0
193,104.0,1.0,0.0,2021-12-17,0.0,0.0
194,105.0,1.0,0.0,2021-12-17,0.0,0.0
195,106.0,1.0,0.0,2021-12-17,0.0,0.0
196,107.0,1.0,0.0,2021-12-17,0.0,0.0
197,108.0,1.0,0.0,2021-12-17,0.0,0.0
198,109.0,1.0,0.0,2021-12-17,0.0,0.0
199,110.0,1.0,0.0,2021-12-17,0.0,0.0
200,111.0,1.0,0.0,2021-12-17,0.0,0.0
201,112.0,1.0,0.0,2021-12-17,0.0,0.0
202,113.0,1.0,0.0,2021-12-17,0.0,0.0
203,114.0,1.0,0.0,2021-12-17,0.0,0.0
204,115.0,1.0,0.0,2021-12-17,0.0,0.0
205,116.0,1.0,0.0,2021-12-17,0.0,0.0
206,117.0,1.0,0.0,2021-12-17,0.0,0.0
207,118.0,1.0,0.0,2021-12-17,0.0,0.0
208,119.0,1.0,0.0,2021-12-17,0.0,0.0
209,120.0,1.0,0.0,2021-12-17,0.0,0.0
210,121.0,1.0,0.0,2021-12-17,0.0,0.0
211,122.0,1.0,0.0,2021-12-17,0.0,0.0
212,123.0,1.0,0.0,2021-12-17,0.0,0.0
213,124.0,1.0,0.0,2021-12-17,0.0,0.0
214,125.0,1.0,0.0,2021-12-17,0.0,0.0
215,130.0,1.0,0.0,2021-12-17,0.0,0.0
216,135.0,1.0,0.0,2021-12-17,0.0,0.0
217,140.0,1.0,0.0,2021-12-17,0.0,0.0
218,145.0,1.0,0.0,2021-12-17,0.0,0.0
219,150.0,1.0,0.0,2021-12-17,0.0,0.0
220,153.0,1.0,0.0,2021-12-17,0.0,0.0
221,154.0,1.0,0.0,2021-12-17,0.0,0.0
222,155.0,1.0,0.0,2021-12-17,0.0,0.0
223,156.0,1.0,0.0,2021-12-17,0.0,0.0
224,157.0,1.0,0.0,2021-12-17,0.0,0.0
225,157.5,1.0,0.0,2021-12-17,0.0,0.0
226,158.0,1.0,0.0,2021-12-17,0.0,0.0
227,159.0,1.0,0.0,2021-12-17,0.0,0.0
228,160.0,1.0,0.0,2021-12-17,0.0,0.0
229,161.0,1.0,0.0,2021-12-17,0.0,0.0
230,162.0,1.0,0.0,2021-12-17,0.0,0.0
231,162.5,1.0,0.0,2021-12-17,0.0,0.0
232,163.0,1.0,0.0,2021-12-17,0.0,0.0
233,164.0,7.825635897024575e-08,0.0,2021-12-17,0.0,0.0
234,165.0,0.0031529169374705,0.0,2021-12-17,0.0,0.0
235,166.0,1.7168870914993123e-05,0.0,2021-12-17,0.0,0.0
236,167.0,0.0027999877358750014,0.0,2021-12-17,0.0,0.0
237,167.5,0.0009056668465806786,0.0,2021-12-17,0.0,0.0
238,168.0,0.00026245531385476876,0.0,2021-12-17,0.0,0.0
239,169.0,1.584594824434297e-05,0.0,2021-12-17,0.0,0.0
240,170.0,6.169668982169363e-07,0.0,2021-12-17,0.0,0.0
241,171.0,0.0028756403900997976,0.0,2021-12-17,0.0,0.0
242,172.0,0.0009602860428997064,0.0,2021-12-17,0.0,0.0
243,172.5,0.0005343024769956094,0.0,2021-12-17,0.0,0.0
244,173.0,0.00028990621376966477,0.0,2021-12-17,0.0,0.0
245,174.0,7.918209889654329e-05,0.0,2021-12-17,0.0,0.0
246,175.0,1.958428792020127e-05,0.0,2021-12-17,0.0,0.0
247,176.0,4.3909185975315074e-06,0.0,2021-12-17,0.0,0.0
248,177.0,8.934432986462168e-07,0.0,2021-12-17,0.0,0.0
249,177.5,3.8876367530943547e-07,0.0,2021-12-17,0.0,0.0
250,178.0,1.651847587186643e-07,0.0,2021-12-17,0.0,0.0
251,179.0,0.003429339006812553,0.0,2021-12-17,0.0,0.0
252,180.0,0.0020761190573480746,0.0,2021-12-17,0.0,0.0
253,181.0,0.0012301324588238727,0.0,2021-12-17,0.0,0.0
254,182.0,0.0007135276314496614,0.0,2021-12-17,0.0,0.0
255,182.5,0.0005391478109136614,0.0,2021-12-17,0.0,0.0
256,183.0,0.00040526078227684796,0.0,2021-12-17,0.0,0.0
257,184.0,0.00022544053925978297,0.0,2021-12-17,0.0,0.0
258,185.0,0.00012286109818269403,0.0,2021-12-17,0.0,0.0
259,186.0,6.561375440379303e-05,0.0,2021-12-17,0.0,0.0
260,187.0,3.4346939297891426e-05,0.0,2021-12-17,0.0,0.0
261,188.0,1.7628254654822008e-05,0.0,2021-12-17,0.0,0.0
262,189.0,8.873086412792096e-06,0.0,2021-12-17,0.0,0.0
263,190.0,4.381274373238317e-06,0.0,2021-12-17,0.0,0.0
264,195.0,9.731642426230618e-08,0.0,2021-12-17,0.0,0.0
265,200.0,0.0016074577040207831,0.0,2021-12-17,0.0,0.0
266,205.0,0.0004714160966544298,0.0,2021-12-17,0.0,0.0
267,210.0,0.0001265961198382366,0.0,2021-12-17,0.0,0.0
268,215.0,3.131398779996792e-05,0.0,2021-12-17,0.0,0.0
269,220.0,7.174322735365832e-06,0.0,2021-12-17,0.0,0.0
270,225.0,1.5304949285095858e-06,0.0,2021-12-17,0.0,0.0
271,230.0,3.0551615733308616e-07,0.0,2021-12-17,0.0,0.0
272,235.0,5.7331318572537966e-08,0.0,2021-12-17,0.0,0.0
273,240.0,0.0029493673338166085,0.0,2021-12-17,0.0,0.0
274,245.0,0.001842502603513375,0.0,2021-12-17,0.0,0.0
275,250.0,0.0011385934081599707,0.0,2021-12-17,0.0,0.0
276,255.0,0.0006965104173302945,0.0,2021-12-17,0.0,0.0
277,260.0,0.0004220683710798729,0.0,2021-12-17,0.0,0.0
278,85.0,1.0,0.0,2021-12-23,0.0,0.0
279,90.0,1.0,0.0,2021-12-23,0.0,0.0
280,95.0,1.0,0.0,2021-12-23,0.0,0.0
281,100.0,1.0,0.0,2021-12-23,0.0,0.0
282,110.0,1.0,0.0,2021-12-23,0.0,0.0
283,120.0,1.0,0.0,2021-12-23,0.0,0.0
284,125.0,1.0,0.0,2021-12-23,0.0,0.0
285,130.0,1.0,0.0,2021-12-23,0.0,0.0
286,135.0,1.0,0.0,2021-12-23,0.0,0.0
287,140.0,1.0,0.0,2021-12-23,0.0,0.0
288,145.0,1.0,0.0,2021-12-23,0.0,0.0
289,146.0,1.0,0.0,2021-12-23,0.0,0.0
290,147.0,1.0,0.0,2021-12-23,0.0,0.0
291,147.5,1.0,0.0,2021-12-23,0.0,0.0
292,148.0,1.0,0.0,2021-12-23,0.0,0.0
293,149.0,1.0,0.0,2021-12-23,0.0,0.0
294,150.0,1.0,0.0,2021-12-23,0.0,0.0
295,151.0,1.0,0.0,2021-12-23,0.0,0.0
296,152.0,1.0,0.0,2021-12-23,0.0,0.0
297,152.5,1.0,0.0,2021-12-23,0.0,0.0
298,153.0,1.0,0.0,2021-12-23,0.0,0.0
299,155.0,1.0,0.0,2021-12-23,0.0,0.0
300,156.0,1.0,0.0,2021-12-23,0.0,0.0
301,157.0,1.0,0.0,2021-12-23,0.0,0.0
302,158.0,1.0,0.0,2021-12-23,0.0,0.0
303,159.0,1.0,0.0,2021-12-23,0.0,0.0
304,160.0,1.0,0.0,2021-12-23,0.0,0.0
305,161.0,1.0,0.0,2021-12-23,0.0,0.0
306,162.0,1.0,0.0,2021-12-23,0.0,0.0
307,162.5,1.0,0.0,2021-12-23,0.0,0.0
308,163.0,1.0,0.0,2021-12-23,0.0,0.0
309,164.0,4.65899420991257e-06,0.0,2021-12-23,0.0,0.0
310,165.0,1.952522190376084e-06,0.0,2021-12-23,0.0,0.0
311,166.0,0.00023226310171266482,0.0,2021-12-23,0.0,0.0
312,167.0,1.3935776788046061e-06,0.0,2021-12-23,0.0,0.0
313,167.5,0.004206295700901429,0.0,2021-12-23,0.0,0.0
314,168.0,0.0016986097845744419,0.0,2021-12-23,0.0,0.0
315,169.0,0.00021970970183272966,0.0,2021-12-23,0.0,0.0
316,170.0,2.0868864204072383e-05,0.0,2021-12-23,0.0,0.0
317,171.0,1.4578620824710602e-06,0.0,2021-12-23,0.0,0.0
318,172.0,0.004409601775155146,0.0,2021-12-23,0.0,0.0
319,172.5,0.002869851942928044,0.0,2021-12-23,0.0,0.0
320,173.0,0.001835174845459067,0.0,2021-12-23,0.0,0.0
321,174.0,0.0007120088183113757,0.0,2021-12-23,0.0,0.0
322,175.0,0.00025766422220637597,0.0,2021-12-23,0.0,0.0
323,176.0,8.702818720103902e-05,0.0,2021-12-23,0.0,0.0
324,177.0,2.7454502707624712e-05,0.0,2021-12-23,0.0,0.0
325,177.5,1.5034025294868908e-05,0.0,2021-12-23,0.0,0.0
326,178.0,8.095653409947852e-06,0.0,2021-12-23,0.0,0.0
327,179.0,2.2332188629618988e-06,0.0,2021-12-23,0.0,0.0
328,180.0,5.76796271554672e-07,0.0,2021-12-23,0.0,0.0
329,181.0,0.005332350350723053,0.0,2021-12-23,0.0,0.0
330,182.0,0.0035778133182222953,0.0,2021-12-23,0.0,0.0
331,182.5,0.0029145654866051655,0.0,2021-12-23,0.0,0.0
332,183.0,0.0023656252702786325,0.0,2021-12-23,0.0,0.0
333,184.0,0.0015416073041728535,0.0,2021-12-23,0.0,0.0
334,185.0,0.000990315250958059,0.0,2021-12-23,0.0,0.0
335,186.0,0.0006272188761167356,0.0,2021-12-23,0.0,0.0
336,187.0,0.00039172931561502235,0.0,2021-12-23,0.0,0.0
337,188.0,0.0002412963077111304,0.0,2021-12-23,0.0,0.0
338,189.0,0.00014661891083531591,0.0,2021-12-23,0.0,0.0
339,190.0,8.78985165941082e-05,0.0,2021-12-23,0.0,0.0
340,195.0,5.596877478857787e-06,0.0,2021-12-23,0.0,0.0
341,200.0,2.6141016699037287e-07,0.0,2021-12-23,0.0,0.0
342,205.0,0.00268965199337997,0.0,2021-12-23,0.0,0.0
343,210.0,0.0010320387935760212,0.0,2021-12-23,0.0,0.0
344,215.0,0.0003740551850077516,0.0,2021-12-23,0.0,0.0
345,220.0,0.00012854467416607797,0.0,2021-12-23,0.0,0.0
346,225.0,4.203435543510062e-05,0.0,2021-12-23,0.0,0.0
347,230.0,1.3123519023110563e-05,0.0,2021-12-23,0.0,0.0
348,235.0,3.924335141635319e-06,0.0,2021-12-23,0.0,0.0
349,240.0,1.1272979941900705e-06,0.0,2021-12-23,0.0,0.0
350,245.0,3.119402694175272e-07,0.0,2021-12-23,0.0,0.0
351,115.0,1.0,0.0,2021-12-31,0.0,0.0
352,120.0,1.0,0.0,2021-12-31,0.0,0.0
353,125.0,1.0,0.0,2021-12-31,0.0,0.0
354,130.0,1.0,0.0,2021-12-31,0.0,0.0
355,135.0,1.0,0.0,2021-12-31,0.0,0.0
356,140.0,1.0,0.0,2021-12-31,0.0,0.0
357,145.0,1.0,0.0,2021-12-31,0.0,0.0
358,147.0,1.0,0.0,2021-12-31,0.0,0.0
359,148.0,1.0,0.0,2021-12-31,0.0,0.0
360,149.0,1.0,0.0,2021-12-31,0.0,0.0
361,149.5,1.0,0.0,2021-12-31,0.0,0.0
362,150.0,1.0,0.0,2021-12-31,0.0,0.0
363,151.0,1.0,0.0,2021-12-31,0.0,0.0
364,152.0,1.0,0.0,2021-12-31,0.0,0.0
365,153.0,1.0,0.0,2021-12-31,0.0,0.0
366,154.0,1.0,0.0,2021-12-31,0.0,0.0
367,155.0,1.0,0.0,2021-12-31,0.0,0.0
368,157.0,1.0,0.0,2021-12-31,0.0,0.0
369,157.5,1.0,0.0,2021-12-31,0.0,0.0
370,158.0,1.0,0.0,2021-12-31,0.0,0.0
371,159.0,1.0,0.0,2021-12-31,0.0,0.0
372,160.0,1.0,0.0,2021-12-31,0.0,0.0
373,161.0,1.0,0.0,2021-12-31,0.0,0.0
374,162.0,1.0,0.0,2021-12-31,0.0,0.0
375,162.5,1.0,0.0,2021-12-31,0.0,0.0
376,163.0,1.0,0.0,2021-12-31,0.0,0.0
377,164.0,8.109483820661605e-05,0.0,2021-12-31,0.0,0.0
378,165.0,4.283621059232489e-05,0.0,2021-12-31,0.0,0.0
379,166.0,0.0014511237084577462,0.0,2021-12-31,0.0,0.0
380,167.0,3.349698648121006e-05,0.0,2021-12-31,0.0,0.0
381,167.5,3.580288502856671e-06,0.0,2021-12-31,0.0,0.0
382,168.0,0.006367640478641103,0.0,2021-12-31,0.0,0.0
383,169.0,0.001396418225729036,0.0,2021-12-31,0.0,0.0
384,170.0,0.0002457918597378582,0.0,2021-12-31,0.0,0.0
385,171.0,3.474428551740896e-05,0.0,2021-12-31,0.0,0.0
386,172.0,3.94981606276428e-06,0.0,2021-12-31,0.0,0.0
387,172.5,1.2280095662730156e-06,0.0,2021-12-31,0.0,0.0
388,173.0,0.006776029452823236,0.0,2021-12-31,0.0,0.0
389,174.0,0.0033533658008394287,0.0,2021-12-31,0.0,0.0
390,175.0,0.0015795274038125015,0.0,2021-12-31,0.0,0.0
391,176.0,0.0007084026189713942,0.0,2021-12-31,0.0,0.0
392,177.0,0.00030264485674214763,0.0,2021-12-31,0.0,0.0
393,177.5,0.00019427361501751203,0.0,2021-12-31,0.0,0.0
394,178.0,0.0001232256983117641,0.0,2021-12-31,0.0,0.0
395,179.0,4.7842668858150574e-05,0.0,2021-12-31,0.0,0.0
396,180.0,1.7722281607033164e-05,0.0,2021-12-31,0.0,0.0
397,181.0,6.2671145880625005e-06,0.0,2021-12-31,0.0,0.0
398,182.0,2.11699669119928e-06,0.0,2021-12-31,0.0,0.0
399,183.0,6.835072647606974e-07,0.0,2021-12-31,0.0,0.0
400,184.0,0.0060074981324399245,0.0,2021-12-31,0.0,0.0
401,185.0,0.0043252522619819595,0.0,2021-12-31,0.0,0.0
402,186.0,0.0030830573448991576,0.0,2021-12-31,0.0,0.0
403,187.0,0.002175976331378877,0.0,2021-12-31,0.0,0.0
404,188.0,0.0015208278560852688,0.0,2021-12-31,0.0,0.0
405,189.0,0.0010527151887479644,0.0,2021-12-31,0.0,0.0
406,190.0,0.000721769934272352,0.0,2021-12-31,0.0,0.0
407,195.0,9.517819780393911e-05,0.0,2021-12-31,0.0,0.0
408,200.0,1.0069342255711607e-05,0.0,2021-12-31,0.0,0.0
409,205.0,8.674567466620085e-07,0.0,2021-12-31,0.0,0.0
410,210.0,6.172586036367512e-08,0.0,2021-12-31,0.0,0.0
411,215.0,0.002146895931389616,0.0,2021-12-31,0.0,0.0
412,115.0,1.0,0.0,2022-01-07,0.0,0.0
413,120.0,1.0,0.0,2022-01-07,0.0,0.0
414,130.0,1.0,0.0,2022-01-07,0.0,0.0
415,140.0,1.0,0.0,2022-01-07,0.0,0.0
416,145.0,1.0,0.0,2022-01-07,0.0,0.0
417,150.0,1.0,0.0,2022-01-07,0.0,0.0
418,155.0,1.0,0.0,2022-01-07,0.0,0.0
419,158.0,1.0,0.0,2022-01-07,0.0,0.0
420,159.0,1.0,0.0,2022-01-07,0.0,0.0
421,160.0,1.0,0.0,2022-01-07,0.0,0.0
422,161.0,1.0,0.0,2022-01-07,0.0,0.0
423,162.0,1.0,0.0,2022-01-07,0.0,0.0
424,162.5,1.0,0.0,2022-01-07,0.0,0.0
425,163.0,1.0,0.0,2022-01-07,0.0,0.0
426,164.0,0.000355926263298849,0.0,2022-01-07,0.0,0.0
427,165.0,0.00021164401275485377,0.0,2022-01-07,0.0,0.0
428,167.0,0.0001734197636879389,0.0,2022-01-07,0.0,0.0
429,167.5,2.8099285431573752e-05,0.0,2022-01-07,0.0,0.0
