,strike,delta_calc,yield,converted_expiration,weekly_yield,jjj
9,32.5,0.9732926857228144,0.013207880155423202,2021-06-18,0.013207880155423202,0.012855133149176912
86,85.0,0.9442135052783069,0.005066031118459993,2021-06-18,0.005066031118459993,0.0047834150002100916
87,86.0,0.8443639591079648,0.45852178998266163,2021-06-18,0.45852178998266163,0.3871592739270309
88,87.0,0.911778251840148,0.6200017958824322,2021-06-18,0.6200017958824322,0.5653041535874364
90,88.0,0.8897410375558923,0.5826849877963508,2021-06-18,0.5826849877963508,0.5184387456101676
94,92.0,0.9253463606491023,0.0052921935917089585,2021-06-18,0.0052921935917089585,0.004897112079938385
95,92.5,0.9237614117260622,0.0052921935917089585,2021-06-18,0.0052921935917089585,0.004888724223404687
96,93.0,0.8476827723486001,0.5406187677720408,2021-06-18,0.5406187677720408,0.4582732158486875
97,93.5,0.916396067895501,0.005744518538206922,2021-06-18,0.005744518538206922,0.005264254200365635
98,94.0,0.9206453055793947,0.005066031118459993,2021-06-18,0.005066031118459993,0.004664017767129323
99,94.5,0.9104286857059871,0.00597068101145592,2021-06-18,0.00597068101145592,0.005435879266029507
100,95.0,0.9146881407883517,0.0052921935917089585,2021-06-18,0.0052921935917089585,0.004840706717092296
101,95.5,0.9104352008232643,0.00551835606495794,2021-06-18,0.00551835606495794,0.005024105612214261
102,96.0,0.9082298430309339,0.00551835606495794,2021-06-18,0.00551835606495794,0.005011935662665552
103,96.5,0.9057296245112996,0.00551835606495794,2021-06-18,0.00551835606495794,0.004998138566634008
104,97.0,0.9009989573792816,0.005744518538206922,2021-06-18,0.005744518538206922,0.005175805213570392
105,97.5,0.8938236153247235,0.00619684348470487,2021-06-18,0.00619684348470487,0.005538885047100365
106,98.0,0.888810591215587,0.006423005957953851,2021-06-18,0.006423005957953851,0.0057088357228702
107,98.5,0.8927255079699106,0.005744518538206922,2021-06-18,0.005744518538206922,0.0051282782300633425
108,99.0,0.8824117662214359,0.006423005957953851,2021-06-18,0.006423005957953851,0.005667736031808863
109,99.5,0.8813358225533198,0.00619684348470487,2021-06-18,0.00619684348470487,0.005461500149826546
110,100.0,0.8776234092016671,0.00619684348470487,2021-06-18,0.00619684348470487,0.005438494905335827
111,101.0,0.8621011145520199,0.006875330904451814,2021-06-18,0.006875330904451814,0.005927230435641855
112,102.0,0.8430040855228285,0.007779980797447725,2021-06-18,0.007779980797447725,0.006558555597537585
113,102.5,0.8327912164587309,0.008232305743945671,2021-06-18,0.008232305743945671,0.006855791914760713
114,103.0,0.8243725970657707,0.008458468217194669,2021-06-18,0.008458468217194669,0.006972929411407048
115,104.0,0.8036451008177122,0.009136955636941597,2021-06-18,0.009136955636941597,0.007342869634016894
116,105.0,0.7737649137994073,0.010493930476435456,2021-06-18,0.010493930476435456,0.008119835210516053
117,106.0,0.7377192395855676,0.012303230262427292,2021-06-18,0.012303230262427292,0.009076329673644004
118,107.0,0.703092518319926,0.013434042628672184,2021-06-18,0.013434042628672184,0.009445374863010364
150,144.0,0.7091892330952514,0.49665279125475653,2021-06-18,0.49665279125475653,0.3522208121445768
210,86.5,0.8844639681628867,0.0068753309044517815,2021-06-25,0.005347479592351385,0.004729653019921162
211,87.0,0.8845441545986316,0.006649168431202816,2021-06-25,0.005171575446491079,0.004574486831259492
212,87.5,0.882939820200439,0.006649168431202816,2021-06-25,0.005171575446491079,0.0045661898948778385
213,88.0,0.879712447929405,0.0068753309044517815,2021-06-25,0.005347479592351385,0.004704244362439974
215,89.0,0.8746987070013924,0.00710149337770078,2021-06-25,0.005523383738211717,0.004831296614086307
216,90.0,0.8677752442925877,0.007553818324198743,2021-06-25,0.005875192029932355,0.005098346199040414
217,91.0,0.8575511263431446,0.008458468217194669,2021-06-25,0.006578808613373631,0.0056416647363945385
218,92.0,0.8580319605698554,0.007779980797447708,2021-06-25,0.006051096175792661,0.005192033915312132
219,92.5,0.8510101067732395,0.008458468217194669,2021-06-25,0.006578808613373631,0.0055986326205078015
220,93.5,0.8430701281153943,0.0089107931636926,2021-06-25,0.006930616905094244,0.005842996082096522
221,94.0,0.8437492111828397,0.008458468217194669,2021-06-25,0.006578808613373631,0.005550864578056872
222,94.5,0.8396030663506404,0.008684630690443635,2021-06-25,0.006754712759233938,0.00567127754497061
223,95.0,0.8368864840809983,0.008684630690443635,2021-06-25,0.006754712759233938,0.005652927812052349
224,95.5,0.8308248083560846,0.009136955636941597,2021-06-25,0.007106521050954575,0.005904273990237816
225,96.0,0.8233263527899769,0.009815443056688527,2021-06-25,0.007634233488535521,0.006285465614463052
226,96.5,0.8172128447471699,0.01026776800318649,2021-06-25,0.007986041780256158,0.006526295921512888
227,97.0,0.813872302417417,0.01026776800318649,2021-06-25,0.007986041780256158,0.006499618210898767
228,97.5,0.8089714997753539,0.010493930476435456,2021-06-25,0.008161945926116465,0.006602781636935776
229,98.0,0.7997736203029893,0.011398580369431381,2021-06-25,0.00886556250955774,0.007090443024291449
230,98.5,0.795906909338669,0.011398580369431381,2021-06-25,0.00886556250955774,0.007056162456530875
231,99.0,0.7878364423605776,0.01207706778917831,2021-06-25,0.009393274947138685,0.007400364316468485
232,99.5,0.7836054740833973,0.01207706778917831,2021-06-25,0.009393274947138685,0.007360621668148308
233,100.0,0.7765085640727949,0.012529392735676274,2021-06-25,0.009745083238859323,0.007567140592576514
234,100.5,0.766785961673043,0.013434042628672184,2021-06-25,0.010448699822300588,0.00801191634147571
235,101.0,0.7593837951421873,0.013886367575170132,2021-06-25,0.010800508114021213,0.008201730841089418
